State,Year,Quarter,District,Registered_Users,YearQuarter
Andaman & Nicobar Islands,2018,1,North and Middle Andaman,632,2018-Q1
Andaman & Nicobar Islands,2018,1,South Andaman,5846,2018-Q1
Andaman & Nicobar Islands,2018,1,Nicobars,262,2018-Q1
Andaman & Nicobar Islands,2018,2,North and Middle Andaman,911,2018-Q2
Andaman & Nicobar Islands,2018,2,South Andaman,8143,2018-Q2
Andaman & Nicobar Islands,2018,2,Nicobars,351,2018-Q2
Andaman & Nicobar Islands,2018,3,North and Middle Andaman,1208,2018-Q3
Andaman & Nicobar Islands,2018,3,South Andaman,10474,2018-Q3
Andaman & Nicobar Islands,2018,3,Nicobars,467,2018-Q3
Andaman & Nicobar Islands,2018,4,North and Middle Andaman,1553,2018-Q4
Andaman & Nicobar Islands,2018,4,South Andaman,13133,2018-Q4
Andaman & Nicobar Islands,2018,4,Nicobars,536,2018-Q4
Andaman & Nicobar Islands,2019,1,North and Middle Andaman,2013,2019-Q1
Andaman & Nicobar Islands,2019,1,South Andaman,15961,2019-Q1
Andaman & Nicobar Islands,2019,1,Nicobars,622,2019-Q1
Andaman & Nicobar Islands,2019,2,North and Middle Andaman,2417,2019-Q2
Andaman & Nicobar Islands,2019,2,South Andaman,18621,2019-Q2
Andaman & Nicobar Islands,2019,2,Nicobars,693,2019-Q2
Andaman & Nicobar Islands,2019,3,North and Middle Andaman,2662,2019-Q3
Andaman & Nicobar Islands,2019,3,South Andaman,20518,2019-Q3
Andaman & Nicobar Islands,2019,3,Nicobars,751,2019-Q3
Andaman & Nicobar Islands,2019,4,North and Middle Andaman,2955,2019-Q4
Andaman & Nicobar Islands,2019,4,South Andaman,22202,2019-Q4
Andaman & Nicobar Islands,2019,4,Nicobars,803,2019-Q4
Andaman & Nicobar Islands,2020,1,North and Middle Andaman,3315,2020-Q1
Andaman & Nicobar Islands,2020,1,South Andaman,24174,2020-Q1
Andaman & Nicobar Islands,2020,1,Nicobars,879,2020-Q1
Andaman & Nicobar Islands,2020,2,North and Middle Andaman,4100,2020-Q2
Andaman & Nicobar Islands,2020,2,South Andaman,27626,2020-Q2
Andaman & Nicobar Islands,2020,2,Nicobars,984,2020-Q2
Andaman & Nicobar Islands,2020,3,North and Middle Andaman,5355,2020-Q3
Andaman & Nicobar Islands,2020,3,South Andaman,34833,2020-Q3
Andaman & Nicobar Islands,2020,3,Nicobars,1147,2020-Q3
Andaman & Nicobar Islands,2020,4,North and Middle Andaman,7076,2020-Q4
Andaman & Nicobar Islands,2020,4,South Andaman,43908,2020-Q4
Andaman & Nicobar Islands,2020,4,Nicobars,1412,2020-Q4
Andaman & Nicobar Islands,2021,1,North and Middle Andaman,7833,2021-Q1
Andaman & Nicobar Islands,2021,1,South Andaman,48352,2021-Q1
Andaman & Nicobar Islands,2021,1,Nicobars,1573,2021-Q1
Andaman & Nicobar Islands,2021,2,North and Middle Andaman,8493,2021-Q2
Andaman & Nicobar Islands,2021,2,South Andaman,51903,2021-Q2
Andaman & Nicobar Islands,2021,2,Nicobars,1699,2021-Q2
Andaman & Nicobar Islands,2021,3,North and Middle Andaman,9263,2021-Q3
Andaman & Nicobar Islands,2021,3,South Andaman,55873,2021-Q3
Andaman & Nicobar Islands,2021,3,Nicobars,1846,2021-Q3
Andaman & Nicobar Islands,2021,4,North and Middle Andaman,10002,2021-Q4
Andaman & Nicobar Islands,2021,4,South Andaman,59807,2021-Q4
Andaman & Nicobar Islands,2021,4,Nicobars,1971,2021-Q4
Andaman & Nicobar Islands,2022,1,North and Middle Andaman,10720,2022-Q1
Andaman & Nicobar Islands,2022,1,South Andaman,63487,2022-Q1
Andaman & Nicobar Islands,2022,1,Nicobars,2081,2022-Q1
Andaman & Nicobar Islands,2022,2,North and Middle Andaman,11379,2022-Q2
Andaman & Nicobar Islands,2022,2,South Andaman,66959,2022-Q2
Andaman & Nicobar Islands,2022,2,Nicobars,2192,2022-Q2
Andaman & Nicobar Islands,2022,3,North and Middle Andaman,11897,2022-Q3
Andaman & Nicobar Islands,2022,3,South Andaman,70445,2022-Q3
Andaman & Nicobar Islands,2022,3,Nicobars,2300,2022-Q3
Andaman & Nicobar Islands,2022,4,North and Middle Andaman,12361,2022-Q4
Andaman & Nicobar Islands,2022,4,South Andaman,73692,2022-Q4
Andaman & Nicobar Islands,2022,4,Nicobars,2389,2022-Q4
Andhra Pradesh,2018,1,East Godavari,350356,2018-Q1
Andhra Pradesh,2018,1,Srikakulam,143839,2018-Q1
Andhra Pradesh,2018,1,Visakhapatnam,497187,2018-Q1
Andhra Pradesh,2018,1,Prakasam,189949,2018-Q1
Andhra Pradesh,2018,1,Anantapur,241192,2018-Q1
Andhra Pradesh,2018,1,Kurnool,240133,2018-Q1
Andhra Pradesh,2018,1,Guntur,317065,2018-Q1
Andhra Pradesh,2018,1,Krishna,323673,2018-Q1
Andhra Pradesh,2018,1,Spsr Nellore,194475,2018-Q1
Andhra Pradesh,2018,1,Vizianagaram,128905,2018-Q1
Andhra Pradesh,2018,1,Ysr,186800,2018-Q1
Andhra Pradesh,2018,1,West Godavari,213335,2018-Q1
Andhra Pradesh,2018,1,Chittoor,309541,2018-Q1
Andhra Pradesh,2018,2,East Godavari,454398,2018-Q2
Andhra Pradesh,2018,2,Srikakulam,186913,2018-Q2
Andhra Pradesh,2018,2,Visakhapatnam,636052,2018-Q2
Andhra Pradesh,2018,2,Prakasam,253458,2018-Q2
Andhra Pradesh,2018,2,Anantapur,326383,2018-Q2
Andhra Pradesh,2018,2,Kurnool,319313,2018-Q2
Andhra Pradesh,2018,2,Guntur,420326,2018-Q2
Andhra Pradesh,2018,2,Krishna,431965,2018-Q2
Andhra Pradesh,2018,2,Spsr Nellore,261049,2018-Q2
Andhra Pradesh,2018,2,Vizianagaram,167327,2018-Q2
Andhra Pradesh,2018,2,Ysr,248657,2018-Q2
Andhra Pradesh,2018,2,West Godavari,282393,2018-Q2
Andhra Pradesh,2018,2,Chittoor,414306,2018-Q2
Andhra Pradesh,2018,3,East Godavari,558982,2018-Q3
Andhra Pradesh,2018,3,Srikakulam,228456,2018-Q3
Andhra Pradesh,2018,3,Visakhapatnam,769096,2018-Q3
Andhra Pradesh,2018,3,Prakasam,314899,2018-Q3
Andhra Pradesh,2018,3,Anantapur,405855,2018-Q3
Andhra Pradesh,2018,3,Kurnool,394311,2018-Q3
Andhra Pradesh,2018,3,Guntur,518931,2018-Q3
Andhra Pradesh,2018,3,Krishna,537086,2018-Q3
Andhra Pradesh,2018,3,Spsr Nellore,322446,2018-Q3
Andhra Pradesh,2018,3,Vizianagaram,203655,2018-Q3
Andhra Pradesh,2018,3,Ysr,308391,2018-Q3
Andhra Pradesh,2018,3,West Godavari,349782,2018-Q3
Andhra Pradesh,2018,3,Chittoor,515727,2018-Q3
Andhra Pradesh,2018,4,East Godavari,694455,2018-Q4
Andhra Pradesh,2018,4,Srikakulam,284874,2018-Q4
Andhra Pradesh,2018,4,Visakhapatnam,978288,2018-Q4
Andhra Pradesh,2018,4,Prakasam,394962,2018-Q4
Andhra Pradesh,2018,4,Anantapur,510892,2018-Q4
Andhra Pradesh,2018,4,Kurnool,498582,2018-Q4
Andhra Pradesh,2018,4,Guntur,659552,2018-Q4
Andhra Pradesh,2018,4,Krishna,682479,2018-Q4
Andhra Pradesh,2018,4,Spsr Nellore,407495,2018-Q4
Andhra Pradesh,2018,4,Vizianagaram,257824,2018-Q4
Andhra Pradesh,2018,4,Ysr,387058,2018-Q4
Andhra Pradesh,2018,4,West Godavari,435668,2018-Q4
Andhra Pradesh,2018,4,Chittoor,665280,2018-Q4
Andhra Pradesh,2019,1,East Godavari,839277,2019-Q1
Andhra Pradesh,2019,1,Srikakulam,345775,2019-Q1
Andhra Pradesh,2019,1,Visakhapatnam,1174517,2019-Q1
Andhra Pradesh,2019,1,Prakasam,474260,2019-Q1
Andhra Pradesh,2019,1,Anantapur,612162,2019-Q1
Andhra Pradesh,2019,1,Kurnool,599422,2019-Q1
Andhra Pradesh,2019,1,Guntur,802394,2019-Q1
Andhra Pradesh,2019,1,Krishna,833694,2019-Q1
Andhra Pradesh,2019,1,Spsr Nellore,491908,2019-Q1
Andhra Pradesh,2019,1,Vizianagaram,313334,2019-Q1
Andhra Pradesh,2019,1,Ysr,460590,2019-Q1
Andhra Pradesh,2019,1,West Godavari,523372,2019-Q1
Andhra Pradesh,2019,1,Chittoor,812314,2019-Q1
Andhra Pradesh,2019,2,East Godavari,945181,2019-Q2
Andhra Pradesh,2019,2,Srikakulam,392764,2019-Q2
Andhra Pradesh,2019,2,Visakhapatnam,1318740,2019-Q2
Andhra Pradesh,2019,2,Prakasam,539462,2019-Q2
Andhra Pradesh,2019,2,Anantapur,695114,2019-Q2
Andhra Pradesh,2019,2,Kurnool,680118,2019-Q2
Andhra Pradesh,2019,2,Guntur,915256,2019-Q2
Andhra Pradesh,2019,2,Krishna,952300,2019-Q2
Andhra Pradesh,2019,2,Spsr Nellore,558303,2019-Q2
Andhra Pradesh,2019,2,Vizianagaram,355058,2019-Q2
Andhra Pradesh,2019,2,Ysr,519031,2019-Q2
Andhra Pradesh,2019,2,West Godavari,592185,2019-Q2
Andhra Pradesh,2019,2,Chittoor,925491,2019-Q2
Andhra Pradesh,2019,3,East Godavari,1057167,2019-Q3
Andhra Pradesh,2019,3,Srikakulam,437939,2019-Q3
Andhra Pradesh,2019,3,Visakhapatnam,1460464,2019-Q3
Andhra Pradesh,2019,3,Prakasam,598568,2019-Q3
Andhra Pradesh,2019,3,Anantapur,773656,2019-Q3
Andhra Pradesh,2019,3,Kurnool,755024,2019-Q3
Andhra Pradesh,2019,3,Guntur,1026418,2019-Q3
Andhra Pradesh,2019,3,Krishna,1066546,2019-Q3
Andhra Pradesh,2019,3,Spsr Nellore,619592,2019-Q3
Andhra Pradesh,2019,3,Vizianagaram,394375,2019-Q3
Andhra Pradesh,2019,3,Ysr,574109,2019-Q3
Andhra Pradesh,2019,3,West Godavari,662102,2019-Q3
Andhra Pradesh,2019,3,Chittoor,1032733,2019-Q3
Andhra Pradesh,2019,4,East Godavari,1195228,2019-Q4
Andhra Pradesh,2019,4,Srikakulam,496266,2019-Q4
Andhra Pradesh,2019,4,Visakhapatnam,1620235,2019-Q4
Andhra Pradesh,2019,4,Prakasam,673522,2019-Q4
Andhra Pradesh,2019,4,Anantapur,873033,2019-Q4
Andhra Pradesh,2019,4,Kurnool,846885,2019-Q4
Andhra Pradesh,2019,4,Guntur,1158708,2019-Q4
Andhra Pradesh,2019,4,Krishna,1199971,2019-Q4
Andhra Pradesh,2019,4,Spsr Nellore,697154,2019-Q4
Andhra Pradesh,2019,4,Vizianagaram,443810,2019-Q4
Andhra Pradesh,2019,4,Ysr,646642,2019-Q4
Andhra Pradesh,2019,4,West Godavari,750078,2019-Q4
Andhra Pradesh,2019,4,Chittoor,1156351,2019-Q4
Andhra Pradesh,2020,1,East Godavari,1329664,2020-Q1
Andhra Pradesh,2020,1,Srikakulam,552007,2020-Q1
Andhra Pradesh,2020,1,Visakhapatnam,1763581,2020-Q1
Andhra Pradesh,2020,1,Prakasam,748655,2020-Q1
Andhra Pradesh,2020,1,Anantapur,971850,2020-Q1
Andhra Pradesh,2020,1,Kurnool,936293,2020-Q1
Andhra Pradesh,2020,1,Guntur,1289678,2020-Q1
Andhra Pradesh,2020,1,Krishna,1331602,2020-Q1
Andhra Pradesh,2020,1,Spsr Nellore,775440,2020-Q1
Andhra Pradesh,2020,1,Vizianagaram,490683,2020-Q1
Andhra Pradesh,2020,1,Ysr,717865,2020-Q1
Andhra Pradesh,2020,1,West Godavari,843835,2020-Q1
Andhra Pradesh,2020,1,Chittoor,1270907,2020-Q1
Andhra Pradesh,2020,2,East Godavari,1459116,2020-Q2
Andhra Pradesh,2020,2,Srikakulam,608002,2020-Q2
Andhra Pradesh,2020,2,Visakhapatnam,1904719,2020-Q2
Andhra Pradesh,2020,2,Prakasam,830709,2020-Q2
Andhra Pradesh,2020,2,Anantapur,1076953,2020-Q2
Andhra Pradesh,2020,2,Kurnool,1035093,2020-Q2
Andhra Pradesh,2020,2,Guntur,1426271,2020-Q2
Andhra Pradesh,2020,2,Krishna,1459041,2020-Q2
Andhra Pradesh,2020,2,Spsr Nellore,854459,2020-Q2
Andhra Pradesh,2020,2,Vizianagaram,537798,2020-Q2
Andhra Pradesh,2020,2,Ysr,796769,2020-Q2
Andhra Pradesh,2020,2,West Godavari,944829,2020-Q2
Andhra Pradesh,2020,2,Chittoor,1385916,2020-Q2
Andhra Pradesh,2020,3,East Godavari,1601940,2020-Q3
Andhra Pradesh,2020,3,Srikakulam,667858,2020-Q3
Andhra Pradesh,2020,3,Visakhapatnam,2058346,2020-Q3
Andhra Pradesh,2020,3,Prakasam,915240,2020-Q3
Andhra Pradesh,2020,3,Anantapur,1186851,2020-Q3
Andhra Pradesh,2020,3,Kurnool,1132240,2020-Q3
Andhra Pradesh,2020,3,Guntur,1567595,2020-Q3
Andhra Pradesh,2020,3,Krishna,1599289,2020-Q3
Andhra Pradesh,2020,3,Spsr Nellore,937176,2020-Q3
Andhra Pradesh,2020,3,Vizianagaram,587784,2020-Q3
Andhra Pradesh,2020,3,Ysr,877909,2020-Q3
Andhra Pradesh,2020,3,West Godavari,1053674,2020-Q3
Andhra Pradesh,2020,3,Chittoor,1506503,2020-Q3
Andhra Pradesh,2020,4,East Godavari,1746280,2020-Q4
Andhra Pradesh,2020,4,Srikakulam,726761,2020-Q4
Andhra Pradesh,2020,4,Visakhapatnam,2209658,2020-Q4
Andhra Pradesh,2020,4,Prakasam,999462,2020-Q4
Andhra Pradesh,2020,4,Anantapur,1295872,2020-Q4
Andhra Pradesh,2020,4,Kurnool,1230466,2020-Q4
Andhra Pradesh,2020,4,Guntur,1712940,2020-Q4
Andhra Pradesh,2020,4,Krishna,1744028,2020-Q4
Andhra Pradesh,2020,4,Spsr Nellore,1022944,2020-Q4
Andhra Pradesh,2020,4,Vizianagaram,634462,2020-Q4
Andhra Pradesh,2020,4,Ysr,959182,2020-Q4
Andhra Pradesh,2020,4,West Godavari,1163179,2020-Q4
Andhra Pradesh,2020,4,Chittoor,1631331,2020-Q4
Andhra Pradesh,2021,1,East Godavari,1878769,2021-Q1
Andhra Pradesh,2021,1,Srikakulam,782604,2021-Q1
Andhra Pradesh,2021,1,Visakhapatnam,2368081,2021-Q1
Andhra Pradesh,2021,1,Prakasam,1075936,2021-Q1
Andhra Pradesh,2021,1,Anantapur,1394849,2021-Q1
Andhra Pradesh,2021,1,Kurnool,1323411,2021-Q1
Andhra Pradesh,2021,1,Guntur,1843237,2021-Q1
Andhra Pradesh,2021,1,Krishna,1876458,2021-Q1
Andhra Pradesh,2021,1,Spsr Nellore,1100541,2021-Q1
Andhra Pradesh,2021,1,Vizianagaram,681621,2021-Q1
Andhra Pradesh,2021,1,Ysr,1032689,2021-Q1
Andhra Pradesh,2021,1,West Godavari,1254117,2021-Q1
Andhra Pradesh,2021,1,Chittoor,1751420,2021-Q1
Andhra Pradesh,2021,2,East Godavari,2006272,2021-Q2
Andhra Pradesh,2021,2,Srikakulam,837958,2021-Q2
Andhra Pradesh,2021,2,Visakhapatnam,2526830,2021-Q2
Andhra Pradesh,2021,2,Prakasam,1151232,2021-Q2
Andhra Pradesh,2021,2,Anantapur,1492738,2021-Q2
Andhra Pradesh,2021,2,Kurnool,1415585,2021-Q2
Andhra Pradesh,2021,2,Guntur,1968681,2021-Q2
Andhra Pradesh,2021,2,Krishna,2002662,2021-Q2
Andhra Pradesh,2021,2,Spsr Nellore,1176334,2021-Q2
Andhra Pradesh,2021,2,Vizianagaram,729509,2021-Q2
Andhra Pradesh,2021,2,Ysr,1103004,2021-Q2
Andhra Pradesh,2021,2,West Godavari,1339377,2021-Q2
Andhra Pradesh,2021,2,Chittoor,1870723,2021-Q2
Andhra Pradesh,2021,3,East Godavari,2150622,2021-Q3
Andhra Pradesh,2021,3,Srikakulam,902008,2021-Q3
Andhra Pradesh,2021,3,Visakhapatnam,2707931,2021-Q3
Andhra Pradesh,2021,3,Prakasam,1239147,2021-Q3
Andhra Pradesh,2021,3,Anantapur,1606735,2021-Q3
Andhra Pradesh,2021,3,Kurnool,1522196,2021-Q3
Andhra Pradesh,2021,3,Guntur,2110878,2021-Q3
Andhra Pradesh,2021,3,Krishna,2145423,2021-Q3
Andhra Pradesh,2021,3,Spsr Nellore,1263550,2021-Q3
Andhra Pradesh,2021,3,Vizianagaram,784444,2021-Q3
Andhra Pradesh,2021,3,Ysr,1183377,2021-Q3
Andhra Pradesh,2021,3,West Godavari,1436576,2021-Q3
Andhra Pradesh,2021,3,Chittoor,2007011,2021-Q3
Andhra Pradesh,2021,4,East Godavari,2294347,2021-Q4
Andhra Pradesh,2021,4,Srikakulam,965335,2021-Q4
Andhra Pradesh,2021,4,Visakhapatnam,2888774,2021-Q4
Andhra Pradesh,2021,4,Prakasam,1325728,2021-Q4
Andhra Pradesh,2021,4,Anantapur,1719437,2021-Q4
Andhra Pradesh,2021,4,Kurnool,1628242,2021-Q4
Andhra Pradesh,2021,4,Guntur,2252443,2021-Q4
Andhra Pradesh,2021,4,Krishna,2288148,2021-Q4
Andhra Pradesh,2021,4,Spsr Nellore,1349290,2021-Q4
Andhra Pradesh,2021,4,Vizianagaram,839606,2021-Q4
Andhra Pradesh,2021,4,Ysr,1262963,2021-Q4
Andhra Pradesh,2021,4,West Godavari,1532898,2021-Q4
Andhra Pradesh,2021,4,Chittoor,2141818,2021-Q4
Andhra Pradesh,2022,1,East Godavari,2432305,2022-Q1
Andhra Pradesh,2022,1,Srikakulam,1027283,2022-Q1
Andhra Pradesh,2022,1,Visakhapatnam,3061324,2022-Q1
Andhra Pradesh,2022,1,Prakasam,1408929,2022-Q1
Andhra Pradesh,2022,1,Anantapur,1827094,2022-Q1
Andhra Pradesh,2022,1,Kurnool,1729513,2022-Q1
Andhra Pradesh,2022,1,Guntur,2387051,2022-Q1
Andhra Pradesh,2022,1,Krishna,2423373,2022-Q1
Andhra Pradesh,2022,1,Spsr Nellore,1431664,2022-Q1
Andhra Pradesh,2022,1,Vizianagaram,892889,2022-Q1
Andhra Pradesh,2022,1,Ysr,1339782,2022-Q1
Andhra Pradesh,2022,1,West Godavari,1626039,2022-Q1
Andhra Pradesh,2022,1,Chittoor,2270705,2022-Q1
Andhra Pradesh,2022,2,East Godavari,2564165,2022-Q2
Andhra Pradesh,2022,2,Srikakulam,1086164,2022-Q2
Andhra Pradesh,2022,2,Visakhapatnam,3226029,2022-Q2
Andhra Pradesh,2022,2,Prakasam,1487589,2022-Q2
Andhra Pradesh,2022,2,Anantapur,1928213,2022-Q2
Andhra Pradesh,2022,2,Kurnool,1825280,2022-Q2
Andhra Pradesh,2022,2,Guntur,2514794,2022-Q2
Andhra Pradesh,2022,2,Krishna,2552107,2022-Q2
Andhra Pradesh,2022,2,Spsr Nellore,1509927,2022-Q2
Andhra Pradesh,2022,2,Vizianagaram,943242,2022-Q2
Andhra Pradesh,2022,2,Ysr,1412848,2022-Q2
Andhra Pradesh,2022,2,West Godavari,1714357,2022-Q2
Andhra Pradesh,2022,2,Chittoor,2392549,2022-Q2
Andhra Pradesh,2022,3,East Godavari,2702234,2022-Q3
Andhra Pradesh,2022,3,Srikakulam,1147016,2022-Q3
Andhra Pradesh,2022,3,Visakhapatnam,3397514,2022-Q3
Andhra Pradesh,2022,3,Prakasam,1567520,2022-Q3
Andhra Pradesh,2022,3,Anantapur,2030824,2022-Q3
Andhra Pradesh,2022,3,Kurnool,1924127,2022-Q3
Andhra Pradesh,2022,3,Guntur,2647100,2022-Q3
Andhra Pradesh,2022,3,Krishna,2685215,2022-Q3
Andhra Pradesh,2022,3,Spsr Nellore,1588875,2022-Q3
Andhra Pradesh,2022,3,Vizianagaram,995141,2022-Q3
Andhra Pradesh,2022,3,Ysr,1487140,2022-Q3
Andhra Pradesh,2022,3,West Godavari,1805967,2022-Q3
Andhra Pradesh,2022,3,Chittoor,2517657,2022-Q3
Andhra Pradesh,2022,4,East Godavari,2835087,2022-Q4
Andhra Pradesh,2022,4,Srikakulam,1204785,2022-Q4
Andhra Pradesh,2022,4,Visakhapatnam,3566854,2022-Q4
Andhra Pradesh,2022,4,Prakasam,1642503,2022-Q4
Andhra Pradesh,2022,4,Anantapur,2128066,2022-Q4
Andhra Pradesh,2022,4,Kurnool,2018290,2022-Q4
Andhra Pradesh,2022,4,Guntur,2774365,2022-Q4
Andhra Pradesh,2022,4,Krishna,2813645,2022-Q4
Andhra Pradesh,2022,4,Spsr Nellore,1663684,2022-Q4
Andhra Pradesh,2022,4,Vizianagaram,1044490,2022-Q4
Andhra Pradesh,2022,4,Ysr,1556901,2022-Q4
Andhra Pradesh,2022,4,West Godavari,1893310,2022-Q4
Andhra Pradesh,2022,4,Chittoor,2636036,2022-Q4
Arunachal Pradesh,2018,1,Lower Subansiri,498,2018-Q1
Arunachal Pradesh,2018,1,Tirap,557,2018-Q1
Arunachal Pradesh,2018,1,Papum Pare,7649,2018-Q1
Arunachal Pradesh,2018,1,Anjaw,278,2018-Q1
Arunachal Pradesh,2018,1,Lower Siang,270,2018-Q1
Arunachal Pradesh,2018,1,Dibang Valley,66,2018-Q1
Arunachal Pradesh,2018,1,West Kameng,2202,2018-Q1
Arunachal Pradesh,2018,1,Shi Yomi,49,2018-Q1
Arunachal Pradesh,2018,1,East Kameng,222,2018-Q1
Arunachal Pradesh,2018,1,Lohit,1207,2018-Q1
Arunachal Pradesh,2018,1,Lepa Rada,210,2018-Q1
Arunachal Pradesh,2018,1,Lower Dibang Valley,601,2018-Q1
Arunachal Pradesh,2018,1,Longding,256,2018-Q1
Arunachal Pradesh,2018,1,West Siang,846,2018-Q1
Arunachal Pradesh,2018,1,Kamle,22,2018-Q1
Arunachal Pradesh,2018,1,Upper Siang,301,2018-Q1
Arunachal Pradesh,2018,1,Kurung Kumey,97,2018-Q1
Arunachal Pradesh,2018,1,Siang,192,2018-Q1
Arunachal Pradesh,2018,1,Kra Daadi,88,2018-Q1
Arunachal Pradesh,2018,1,Changlang,1208,2018-Q1
Arunachal Pradesh,2018,1,Pakke Kessang,39,2018-Q1
Arunachal Pradesh,2018,1,East Siang,1803,2018-Q1
Arunachal Pradesh,2018,1,Upper Subansiri,572,2018-Q1
Arunachal Pradesh,2018,1,Tawang,1525,2018-Q1
Arunachal Pradesh,2018,1,Namsai,737,2018-Q1
Arunachal Pradesh,2018,2,Lower Subansiri,724,2018-Q2
Arunachal Pradesh,2018,2,Tirap,856,2018-Q2
Arunachal Pradesh,2018,2,Papum Pare,11418,2018-Q2
Arunachal Pradesh,2018,2,Anjaw,410,2018-Q2
Arunachal Pradesh,2018,2,Lower Siang,494,2018-Q2
Arunachal Pradesh,2018,2,Dibang Valley,112,2018-Q2
Arunachal Pradesh,2018,2,West Kameng,3442,2018-Q2
Arunachal Pradesh,2018,2,Shi Yomi,80,2018-Q2
Arunachal Pradesh,2018,2,East Kameng,343,2018-Q2
Arunachal Pradesh,2018,2,Lohit,1898,2018-Q2
Arunachal Pradesh,2018,2,Lepa Rada,318,2018-Q2
Arunachal Pradesh,2018,2,Lower Dibang Valley,893,2018-Q2
Arunachal Pradesh,2018,2,Longding,412,2018-Q2
Arunachal Pradesh,2018,2,West Siang,1224,2018-Q2
Arunachal Pradesh,2018,2,Kamle,37,2018-Q2
Arunachal Pradesh,2018,2,Upper Siang,481,2018-Q2
Arunachal Pradesh,2018,2,Kurung Kumey,153,2018-Q2
Arunachal Pradesh,2018,2,Siang,293,2018-Q2
Arunachal Pradesh,2018,2,Kra Daadi,144,2018-Q2
Arunachal Pradesh,2018,2,Changlang,2014,2018-Q2
Arunachal Pradesh,2018,2,Pakke Kessang,66,2018-Q2
Arunachal Pradesh,2018,2,East Siang,2646,2018-Q2
Arunachal Pradesh,2018,2,Upper Subansiri,883,2018-Q2
Arunachal Pradesh,2018,2,Tawang,2266,2018-Q2
Arunachal Pradesh,2018,2,Namsai,1276,2018-Q2
Arunachal Pradesh,2018,3,Lower Subansiri,1033,2018-Q3
Arunachal Pradesh,2018,3,Tirap,1226,2018-Q3
Arunachal Pradesh,2018,3,Papum Pare,16009,2018-Q3
Arunachal Pradesh,2018,3,Anjaw,542,2018-Q3
Arunachal Pradesh,2018,3,Lower Siang,717,2018-Q3
Arunachal Pradesh,2018,3,Dibang Valley,145,2018-Q3
Arunachal Pradesh,2018,3,West Kameng,4765,2018-Q3
Arunachal Pradesh,2018,3,Shi Yomi,118,2018-Q3
Arunachal Pradesh,2018,3,East Kameng,521,2018-Q3
Arunachal Pradesh,2018,3,Lohit,2612,2018-Q3
Arunachal Pradesh,2018,3,Lepa Rada,431,2018-Q3
Arunachal Pradesh,2018,3,Lower Dibang Valley,1286,2018-Q3
Arunachal Pradesh,2018,3,Longding,644,2018-Q3
Arunachal Pradesh,2018,3,West Siang,1652,2018-Q3
Arunachal Pradesh,2018,3,Kamle,65,2018-Q3
Arunachal Pradesh,2018,3,Upper Siang,646,2018-Q3
Arunachal Pradesh,2018,3,Kurung Kumey,222,2018-Q3
Arunachal Pradesh,2018,3,Siang,373,2018-Q3
Arunachal Pradesh,2018,3,Kra Daadi,190,2018-Q3
Arunachal Pradesh,2018,3,Changlang,2889,2018-Q3
Arunachal Pradesh,2018,3,Pakke Kessang,103,2018-Q3
Arunachal Pradesh,2018,3,East Siang,3590,2018-Q3
Arunachal Pradesh,2018,3,Upper Subansiri,1169,2018-Q3
Arunachal Pradesh,2018,3,Tawang,3112,2018-Q3
Arunachal Pradesh,2018,3,Namsai,1862,2018-Q3
Arunachal Pradesh,2018,4,Lower Subansiri,1459,2018-Q4
Arunachal Pradesh,2018,4,Tirap,1684,2018-Q4
Arunachal Pradesh,2018,4,Papum Pare,21342,2018-Q4
Arunachal Pradesh,2018,4,Anjaw,744,2018-Q4
Arunachal Pradesh,2018,4,Lower Siang,936,2018-Q4
Arunachal Pradesh,2018,4,Dibang Valley,178,2018-Q4
Arunachal Pradesh,2018,4,West Kameng,6492,2018-Q4
Arunachal Pradesh,2018,4,Shi Yomi,144,2018-Q4
Arunachal Pradesh,2018,4,East Kameng,691,2018-Q4
Arunachal Pradesh,2018,4,Lohit,3588,2018-Q4
Arunachal Pradesh,2018,4,Lepa Rada,548,2018-Q4
Arunachal Pradesh,2018,4,Lower Dibang Valley,1827,2018-Q4
Arunachal Pradesh,2018,4,Longding,923,2018-Q4
Arunachal Pradesh,2018,4,West Siang,2117,2018-Q4
Arunachal Pradesh,2018,4,Kamle,109,2018-Q4
Arunachal Pradesh,2018,4,Upper Siang,868,2018-Q4
Arunachal Pradesh,2018,4,Kurung Kumey,321,2018-Q4
Arunachal Pradesh,2018,4,Siang,483,2018-Q4
Arunachal Pradesh,2018,4,Kra Daadi,255,2018-Q4
Arunachal Pradesh,2018,4,Changlang,4036,2018-Q4
Arunachal Pradesh,2018,4,Pakke Kessang,138,2018-Q4
Arunachal Pradesh,2018,4,East Siang,4813,2018-Q4
Arunachal Pradesh,2018,4,Upper Subansiri,1576,2018-Q4
Arunachal Pradesh,2018,4,Tawang,4085,2018-Q4
Arunachal Pradesh,2018,4,Namsai,2495,2018-Q4
Arunachal Pradesh,2019,1,Lower Subansiri,1879,2019-Q1
Arunachal Pradesh,2019,1,Tirap,2082,2019-Q1
Arunachal Pradesh,2019,1,Papum Pare,26298,2019-Q1
Arunachal Pradesh,2019,1,Anjaw,934,2019-Q1
Arunachal Pradesh,2019,1,Lower Siang,1123,2019-Q1
Arunachal Pradesh,2019,1,Dibang Valley,211,2019-Q1
Arunachal Pradesh,2019,1,West Kameng,8115,2019-Q1
Arunachal Pradesh,2019,1,Shi Yomi,186,2019-Q1
